name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality
Paul Dummett,Newcastle+United,25,LB,defender,3.5,177,4.5,1.00%,0,EU,Wales
Grant Hanley,Newcastle+United,25,CB,defender,4.5,265,4.0,2.50%,0,EU,Scotland
Jesus Gamez,Newcastle+United,32,RB,defender,2.5,186,4.0,2.30%,0,EU,Spain
Florian Lejeune,Newcastle+United,26,CB,defender,5.0,65,4.5,1.00%,0,EU,France
Massadio Haidara,Newcastle+United,24,LB,defender,1.5,114,4.0,0.50%,0,EU,France
Matt Ritchie,Newcastle+United,27,RM,midfielder,9.0,566,6.0,4.20%,0,EU,Scotland
Jonjo Shelvey,Newcastle+United,25,CM,midfielder,11.0,747,5.5,2.50%,0,England,England
Mohamed Diame,Newcastle+United,30,CM,midfielder,6.0,339,5.0,0.50%,0,Rest Of World,Senegal
Jack Colback,Newcastle+United,27,DM,midfielder,5.0,181,4.5,1.10%,0,England,England
Christian Atsu,Newcastle+United,25,RW,attacker,5.0,641,5.0,2.10%,0,Rest Of World,Ghana
Siem de Jong,Newcastle+United,28,AM,attacker,5.5,341,5.0,0.10%,0,EU,Netherlands
Rolando Aarons,Newcastle+United,21,LW,attacker,0.75,170,4.5,0.10%,0,England,England
Dwight Gayle,Newcastle+United,26,CF,attacker,10.0,1351,6.5,11.40%,0,England,England
Ayoze Perez,Newcastle+United,23,SS,attacker,8.0,368,5.5,1.60%,0,EU,Spain
Aleksandar Mitrovic,Newcastle+United,22,CF,attacker,10.0,781,5.0,2.50%,0,EU,Serbia
Daryl Murphy,Newcastle+United,34,CF,attacker,1.5,541,4.5,2.80%,0,EU,Ireland
Fraser Forster,Southampton,29,GK,goalkeeper,15.0,548,5.0,7.30%,134,England,England
Nathan Redmond,Southampton,23,RW,attacker,15.0,706,6.5,11.30%,126,England,England
Ryan Bertrand,Southampton,27,LB,defender,20.0,578,5.5,11.20%,123,England,England
DuÅ¡an TadiÄ‡,Southampton,28,LW,attacker,17.0,458,6.5,4.90%,108,EU,Portugal
Cedric Soares,Southampton,25,RB,defender,15.0,338,5.0,16.40%,102,EU,Portugal
James Ward-Prowse,Southampton,22,CM,midfielder,15.0,416,5.5,2.20%,92,England,England
Oriol Romeu,Southampton,25,DM,midfielder,10.0,476,4.5,4.20%,80,EU,Spain
Maya Yoshida,Southampton,28,CB,defender,5.0,317,5.0,1.10%,78,Rest Of World,Japan
Steven Davis,Southampton,32,CM,midfielder,6.0,310,5.0,0.20%,77,EU,Northern Ireland
Virgil van Dijk,Southampton,26,CB,defender,30.0,1102,5.5,4.00%,75,EU,Netherlands
Charlie Austin,Southampton,28,CF,attacker,13.0,874,6.5,2.10%,62,England,England
Jack Stephens,Southampton,23,CB,defender,3.5,249,5.0,0.40%,60,England,England
Shane Long,Southampton,30,CF,attacker,9.0,703,6.0,0.30%,57,EU,Ireland
Sofiane Boufal,Southampton,23,AM,attacker,15.0,590,6.0,0.30%,40,Rest Of World,Morocco
Jordy Clasie,Southampton,26,DM,midfielder,10.0,201,4.5,0.40%,38,EU,Netherlands
Pierre-Emile Hojbjerg,Southampton,21,CM,midfielder,8.0,368,4.5,0.40%,38,EU,Denmark
Manolo Gabbiadini,Southampton,25,CF,attacker,15.0,2012,7.0,5.20%,38,EU,Italy
Sam McQueen,Southampton,22,LM,midfielder,0.75,221,4.5,0.10%,23,England,England
Matt Targett,Southampton,21,LB,defender,3.0,110,4.5,0.20%,12,England,England
Josh Sims,Southampton,20,RW,attacker,0.5,126,4.5,0.10%,12,England,England
Jeremy Pied,Southampton,28,RM,midfielder,3.5,136,4.5,0.10%,5,EU,France
Jason McCarthy,Southampton,21,CB,defender,0.25,53,4.5,0.10%,0,England,England
Jan Bednarek,Southampton,21,CB,defender,0.5,9,4.5,0.40%,0,EU,Poland
Joe Allen,Stoke+City,27,CM,midfielder,15.0,523,5.5,6.00%,118,EU,Wales
Marko ArnautoviÄ‡,Stoke+City,28,LW,attacker,15.0,579,7.0,0.70%,117,England,England
Lee Grant,Stoke+City,34,GK,goalkeeper,1.0,480,4.5,1.20%,106,England,England
Erik Pieters,Stoke+City,28,LB,defender,7.0,134,5.0,1.30%,103,EU,Netherlands
Steven Fletcher,Stoke+City,30,CF,attacker,3.0,522,5.0,1.00%,103,EU,Scotland
Ryan Shawcross,Stoke+City,29,CB,defender,11.0,281,5.0,1.00%,94,EU,England
Xherdan Shaqiri,Stoke+City,25,RW,attacker,15.0,1000,6.0,3.20%,80,EU,Switzerland
Peter Crouch,Stoke+City,36,CF,attacker,1.5,2656,5.0,2.90%,79,England,England
Glenn Whelan,Stoke+City,33,DM,midfielder,2.5,182,4.5,0.40%,62,EU,Ireland
Charlie Adam,Stoke+City,31,CM,midfielder,3.5,561,5.0,0.10%,59,EU,Scotland
Geoff Cameron,Stoke+City,32,CB,defender,3.0,260,4.5,0.50%,58,Rest Of World,United States
Glen Johnson,Stoke+City,32,RB,defender,5.0,512,4.5,0.80%,56,England,England
Mame Biram Diouf,Stoke+City,29,CF,attacker,7.0,310,5.5,0.40%,51,Rest Of World,Senegal
Ramadan Sobhi,Stoke+City,20,LW,attacker,5.0,461,5.0,1.10%,36,Rest Of World,Egypt
Marc Muniesa,Stoke+City,25,CB,defender,3.0,172,4.5,0.20%,34,EU,Spain
Bojan KrkiÄ‡,Stoke+City,26,SS,attacker,5.0,1325,5.5,0.20%,30,EU,Spain
Phil Bardsley,Stoke+City,32,RB,defender,1.5,365,4.5,0.00%,27,EU,Scotland
Saido Berahino,Stoke+City,23,CF,attacker,15.0,841,6.0,0.80%,26,England,England
Giannelli Imbula,Stoke+City,24,DM,midfielder,12.0,238,4.5,0.20%,24,EU,France
Jack Butland,Stoke+City,24,GK,goalkeeper,15.0,402,5.0,2.80%,20,England,England
Ibrahim Afellay,Stoke+City,31,LM,midfielder,3.0,461,5.0,0.00%,15,EU,Netherlands
Josh Tymon,Stoke+City,18,LB,defender,1.0,120,4.5,0.10%,9,England,England
Gylfi Sigurdsson,Swansea,27,AM,attacker,25.0,861,8.5,8.70%,181,EU,Iceland
Fernando Llorente,Swansea,32,CF,attacker,6.0,1423,7.5,0.70%,146,EU,Spain
Åukasz FabiaÅ„ski,Swansea,32,GK,goalkeeper,9.0,285,4.5,6.20%,116,EU,Poland
Leroy Fer,Swansea,27,CM,midfielder,8.0,411,5.5,0.60%,95,EU,Netherlands
Alfie Mawson,Swansea,23,CB,defender,6.0,509,5.0,1.80%,94,England,England
Kyle Naughton,Swansea,28,RB,defender,5.0,170,4.5,2.00%,82,England,England
Wayne Routledge,Swansea,32,LW,attacker,2.5,264,5.5,0.10%,74,England,England
Federico Fernandez,Swansea,28,CB,defender,9.0,116,4.5,0.40%,63,Americas,Argentina
Martin Olsson,Swansea,29,LB,defender,5.0,458,5.0,0.30%,52,EU,Sweden
Tom Carroll,Swansea,25,CM,midfielder,6.0,432,4.5,4.30%,52,England,England
Ki Sung-yueng,Swansea,28,DM,midfielder,7.0,478,5.0,0.00%,41,Rest Of World,South Korea
Jordan Ayew,Swansea,25,CF,attacker,7.5,676,5.0,2.00%,39,Rest Of World,Ghana
Modou Barrow,Swansea,24,RW,attacker,3.0,437,5.0,0.10%,34,Rest Of World,The Gambia
Leon Britton,Swansea,34,CM,midfielder,1.0,218,4.5,0.10%,32,England,England
Stephen Kingsley,Swansea,22,LB,defender,0.75,168,4.5,0.20%,29,EU,Scotland
Afa Ngengel Rangel,Swansea,34,RB,defender,1.0,137,4.0,18.80%,26,EU,Spain
Luciano Narsingh,Swansea,26,RW,attacker,5.0,448,5.0,0.10%,25,EU,Netherlands
Jay Fulton,Swansea,23,CM,midfielder,0.5,104,4.5,0.10%,19,EU,Scotland
Jefferson Montero,Swansea,27,LW,attacker,4.5,187,5.0,0.10%,18,Americas,Ecuador
Mike van der Hoorn,Swansea,24,CB,defender,2.0,154,4.5,0.10%,16,EU,Netherlands
Nathan Dyer,Swansea,29,RW,attacker,3.5,313,4.5,0.10%,12,England,England
Oliver McBurnie,Swansea,21,CF,attacker,0.25,149,4.5,0.70%,5,EU,Scotland
Kristoffer Nordfeldt,Swansea,28,GK,goalkeeper,1.5,82,4.0,1.70%,3,EU,Sweden
Roque Mesa,Swansea,28,CM,midfielder,12.0,110,4.5,0.90%,0,EU,Spain
Tammy Abraham,Swansea,19,CF,attacker,8.0,1227,5.5,3.30%,0,England,England
Dele Alli,Tottenham,21,CM,midfielder,45.0,4626,9.5,38.60%,225,England,England
Harry Kane,Tottenham,23,CF,attacker,60.0,4161,12.5,35.10%,224,England,England
Christian Eriksen,Tottenham,25,AM,attacker,40.0,1130,9.5,12.00%,218,EU,Denmark
Son Heung-min,Tottenham,25,LW,attacker,30.0,2185,8.0,1.60%,174,Rest Of World,South Korea
Hugo Lloris,Tottenham,30,GK,goalkeeper,24.0,847,5.5,12.60%,143,EU,France
Jan Vertonghen,Tottenham,30,CB,defender,28.0,511,6.0,9.00%,126,EU,Belgium
Toby Alderweireld,Tottenham,28,CB,defender,35.0,756,6.0,13.30%,120,EU,Belgium
Victor Wanyama,Tottenham,26,DM,midfielder,25.0,1002,5.0,3.10%,103,Rest Of World,Kenya
Eric Dier,Tottenham,23,DM,midfielder,25.0,1239,5.0,3.50%,93,England,England
Ben Davies,Tottenham,24,LB,defender,12.0,396,5.5,1.80%,90,EU,Wales
Danny Rose,Tottenham,27,LB,defender,28.0,848,6.5,0.60%,84,England,England
Mousa Dembele,Tottenham,30,CM,midfielder,18.0,1161,5.0,1.80%,76,EU,Belgium
Vincent Janssen,Tottenham,23,CF,attacker,13.0,1135,7.5,0.10%,55,EU,Netherlands
Kieran Trippier,Tottenham,26,RB,defender,10.0,525,5.5,17.30%,51,England,England
Moussa Sissokho,Tottenham,27,CM,midfielder,20.0,1162,5.5,0.30%,43,EU,France
Harry Winks,Tottenham,21,CM,midfielder,4.0,806,5.0,0.00%,30,England,England
Erik Lamela,Tottenham,25,RW,attacker,25.0,672,6.5,0.10%,28,Americas,Argentina
Michel Vorm,Tottenham,33,GK,goalkeeper,4.0,252,5.0,0.10%,17,EU,Netherlands
Georges Kevin NKoudou,Tottenham,22,LW,attacker,7.0,510,5.5,0.10%,8,EU,France
Kevin Wimmer,Tottenham,24,CB,defender,7.0,355,4.5,0.30%,2,EU,Austria
Afae Cupun Capoue,Watford,29,DM,midfielder,9.0,412,5.5,8.00%,131,EU,France
Troy Deeney,Watford,29,CF,attacker,11.0,1141,6.5,3.40%,130,England,England
Heurelho Gomes,Watford,36,GK,goalkeeper,1.0,439,4.5,2.20%,113,Americas,Brazil
Jose Holebas,Watford,33,LB,defender,2.0,345,5.0,0.60%,87,EU,Greece
Miguel Britos,Watford,32,CB,defender,3.5,131,4.5,0.60%,71,Americas,Uruguay
Sebastian Prodl,Watford,30,CB,defender,4.0,169,4.5,0.80%,67,EU,Austria
Nordin Amrabat,Watford,30,LW,attacker,4.5,295,5.0,0.10%,65,Rest Of World,Morocco
Youn Kaboul,Watford,31,CB,defender,2.5,263,4.5,0.10%,57,EU,France
Tom Cleverley,Watford,27,CM,midfielder,8.0,703,5.0,0.20%,55,England,England
Daryl Janmaat,Watford,27,RB,defender,7.0,242,5.0,0.30%,50,EU,Netherlands
Valon Behrami,Watford,32,DM,midfielder,2.5,237,4.5,0.40%,48,EU,Switzerland
Roberto Pereyra,Watford,26,AM,attacker,15.0,398,6.0,0.10%,43,Americas,Argentina
Stefano Okaka,Watford,27,CF,attacker,6.0,708,5.5,0.20%,43,EU,Italy
Abdoulaye Doucoure,Watford,24,CM,midfielder,6.0,124,5.0,0.00%,38,EU,France
Kabasele,Watford,26,CB,defender,5.5,177,4.5,0.20%,35,EU,Belgium
Craig Cathcart,Watford,28,CB,defender,4.0,128,4.5,0.00%,31,EU,Northern Ireland
Isaac Success,Watford,21,LW,attacker,4.0,474,5.5,0.10%,28,Rest Of World,Nigeria
Adrian Mariappa,Watford,30,CB,defender,1.0,201,4.0,5.40%,15,Americas,Jamaica
Nathaniel Chalobah,Watford,22,DM,midfielder,5.0,977,4.5,2.30%,12,England,England
Mauro Zarate,Watford,30,SS,attacker,2.0,473,5.5,0.00%,8,Americas,Argentina
Costel Pantilimon,Watford,30,GK,goalkeeper,3.0,268,4.5,0.20%,2,EU,Romania
Kiko Femenia,Watford,26,RB,defender,4.0,74,4.5,0.30%,0,EU,Spain
Steven Berghuis,Watford,25,RW,attacker,5.5,164,5.0,0.10%,0,EU,Netherlands
Will Hughes,Watford,22,CM,midfielder,8.0,258,5.0,0.60%,0,England,England
Gareth McAuley,West+Brom,37,CB,defender,1.0,458,5.0,11.80%,131,EU,Northern Ireland
Salomon Rondon,West+Brom,27,CF,attacker,15.0,502,6.5,2.00%,118,Americas,Venezuela
Matt Phillips,West+Brom,26,RW,attacker,9.0,454,6.0,5.60%,115,EU,Scotland
Ben Foster,West+Brom,34,GK,goalkeeper,4.0,484,4.5,20.70%,113,England,England
Nacer Chadli,West+Brom,27,LW,attacker,15.0,570,6.0,2.40%,110,EU,Belgium
Craig Dawson,West+Brom,27,RB,defender,6.0,215,5.0,6.00%,102,England,England
Chris Brunt,West+Brom,32,LM,midfielder,4.0,242,5.5,0.80%,99,EU,Northern Ireland
James Morrison,West+Brom,31,CM,midfielder,5.0,238,5.5,0.00%,84,EU,Scotland
Jonny Evans,West+Brom,29,CB,defender,7.0,375,5.0,1.60%,79,EU,Northern Ireland
Jake Livermore,West+Brom,27,DM,midfielder,7.0,564,5.0,0.20%,77,England,England
Allan Nyom,West+Brom,29,RB,defender,4.5,236,5.0,0.30%,74,Rest Of World,Cameroon
Jay Rodriguez,West+Brom,27,CF,attacker,10.0,472,6.0,2.90%,73,England,England
Claudio Yacob,West+Brom,30,DM,midfielder,4.0,165,4.5,0.40%,54,Americas,Argentina
James McClean,West+Brom,28,LW,attacker,3.0,454,5.0,0.20%,52,EU,Ireland
Hal Robson-Kanu,West+Brom,28,LW,attacker,2.5,766,5.0,0.70%,52,EU,Wales
Jonathan Leko,West+Brom,18,RW,attacker,1.5,169,4.5,0.20%,12,England,England
Sam Field,West+Brom,19,CM,midfielder,0.25,15,4.5,0.10%,9,England,England
Boaz Myhill,West+Brom,34,GK,goalkeeper,1.5,100,4.0,5.30%,0,EU,Wales
Ahmed Hegazy,West+Brom,26,CB,defender,1.0,82,4.5,1.30%,0,Rest Of World,Egypt
Robert Snodgrass,West+Ham,29,RW,attacker,8.0,1210,6.0,6.50%,133,EU,Scotland
Manuel Lanzini,West+Ham,24,AM,attacker,15.0,493,7.0,7.20%,133,Americas,Argentina
Michail Antonio,West+Ham,27,RW,attacker,18.0,1142,7.5,0.50%,132,England,England
Winston Reid,West+Ham,29,CB,defender,10.0,338,5.0,0.40%,102,Rest Of World,New Zealand
Jose Fonte,West+Ham,33,CB,defender,7.0,867,5.0,2.10%,98,EU,Portugal
Andre Ayew,West+Ham,27,LW,attacker,18.0,845,7.0,3.40%,89,Rest Of World,Ghana
Cheikhou Kouyate,West+Ham,27,DM,midfielder,12.0,284,5.0,0.10%,79,Rest Of World,Senegal
Mark Noble,West+Ham,30,CM,midfielder,7.0,425,5.5,0.10%,71,England,England
Darren Randolph,West+Ham,30,GK,goalkeeper,2.5,459,4.5,0.40%,69,EU,Ireland
James Collins,West+Ham,33,CB,defender,2.0,187,4.5,0.90%,69,EU,Wales
Andy Carroll,West+Ham,28,CF,attacker,10.0,1212,6.0,0.40%,69,England,England
Adrian,West+Ham,30,GK,goalkeeper,8.0,266,4.5,0.80%,64,EU,Spain
Aaron Cresswell,West+Ham,27,LB,defender,12.0,380,5.0,1.30%,60,England,England
Pedro Obiang,West+Ham,25,CM,midfielder,9.0,286,4.5,0.30%,55,EU,Spain
Sofiane Feghouli,West+Ham,27,RW,attacker,12.0,394,5.5,0.20%,55,Rest Of World,Algeria
Angelo Ogbonna,West+Ham,29,CB,defender,9.0,247,4.5,1.10%,45,EU,Italy
Pablo Zabaleta,West+Ham,32,RB,defender,7.0,698,5.0,2.70%,45,Americas,Argentina
Edimilson Fernandes,West+Ham,21,CM,midfielder,5.0,288,4.5,0.40%,38,EU,Switzerland
Arthur Masuaku,West+Ham,23,LB,defender,7.0,199,4.5,0.20%,34,Rest Of World,Congo DR
Sam Byram,West+Ham,23,RB,defender,4.5,198,4.5,0.30%,29,England,England
Ashley Fletcher,West+Ham,21,CF,attacker,1.0,412,4.5,5.90%,16,England,England
Diafra Sakho,West+Ham,27,CF,attacker,10.0,214,5.5,0.10%,12,Rest Of World,Senegal
